Identifier	Other_Name
262	Francisella Dorofe'ev 1947 (Approved Lists 1980) emend. Huber et al. 2010
263	"Bacterium tularense" McCoy and Chapin 1912
263	"Brucella tularensis" (McCoy and Chapin 1912) Topley and Wilson 1929
263	"Francisella tularense" (sic) (McCoy and Chapin 1912) Dorofe'ev 1947
263	"Pasteurella tularensis" (McCoy and Chapin 1912) Bergey et al. 1923
263	ATCC 6223
263	Bacterium tularense
263	BEI Resources NR-50
263	BEI Resources:NR-50
263	BEI ResourcesNR-50
263	BEI Resources-NR-50
263	Brucella tularensis
263	Francisella tularense
263	Francisella tularensis (McCoy and Chapin 1912) Dorofe'ev 1947
263	GIEM Schu
263	NIH B-38
263	NIH:B-38
263	NIHB-38
263	NIH-B-38
263	Pasteurella tularensis
263	strain B-38
264	"Francisella tularensis subsp. novicida" (Larson et al. 1955) Sjostedt 2005
264	"Pasteurella novicida" Larson et al. 1955
264	ATCC 15482
264	CCUG 33449
264	CIP 56.12
264	Francisella novicida (Larson et al. 1955) Olsufiev et al. 1959 (Approved Lists 1980)
264	Francisella tularensis (var. novicida)
264	Francisella tularensis biogroup novicida
264	Francisella tularensis bv. novicida
264	Francisella tularensis subsp. novicida
264	Francisella tularensis var. novicida
264	Pasteurella novicida
264	strain U112
264	strain Utah 112
119856	"Francisella tularensis subsp. nearctica" Olsufjev 1970
119856	Francisella tularensis subsp. nearctica
119856	Francisella tularensis subsp. tularensis (McCoy and Chapin 1912) Dorofe'ev 1947
119856	Francisella tularensis var. tularemia
119857	"Francisella tularensis subsp. holarctica" Olsufjev 1970
119857	"Francisella tularensis var. palaearctica" Olsufjev et al. 1959
119857	Francisella tularensis subsp. holarctica (ex Olsufjev et al. 1959) Olsufjev and Meshcheryakova 1983
119857	Francisella tularensis var. palaearctica
119857	GIEM 503
119857	strain 257
119857	strain FSC257
954	ATCC VR-331
954	culture-collection:ATCC:VR:331
954	DSM 101678
954	Francisella persica (Suitor and Weiss 1961) Larson et al. 2016
954	FSC845
954	Wolbachia persica
28110	ATCC 25015
28110	CCUG 19700
28110	CCUG 4992
28110	CIP 82.98
28110	DSM 7535
28110	Francisella philomiragia (Jensen et al. 1969) Hollis et al. 1990
28110	Francisella philomiragia subsp. philomiragia
28110	'Philomiragia' bacterium
28110	strain O#319L
28110	Yersinia philomiragia
111775	unclassified Francisella group
111849	uncultured bacterium TPT-541
92486	unclassified Thiomicrospira group
72274	gamma-3 proteobacteria
72274	Pseudomonaceae/Moraxellaceae group
72274	Pseudomonadales Orla-Jensen 1921 emend. Liao et al. 2020
91347	Enterobacterales Adeolu et al. 2016
91347	Enterobacteriaceae and related endosymbionts
91347	Enterobacteriaceae group
91347	Enterobacteriales
91347	gamma-3 proteobacteria
543	Enterobacteraceae
543	enterobacteria
543	Enterobacteriaceae (ex Rahn 1937) Ewing et al. 1980
543	Enterobacteriaceae Rahn 1937 (Approved Lists 1980) emend. Adeolu et al. 2016
543	gamma-3 proteobacteria
544	Citrobacter Werkman and Gillen 1932
544	Levinea
545	"Aerobacter diversum" (sic) Burkey 1928
545	Aerobacter diversum
545	ATCC 25408 [[Levinea malonatica Young et al. 1971 (Approved Lists 1980)]]
545	ATCC 27028
545	ATCC 27156 [[Citrobacter diversus]]
545	CCM 2537
545	CCUG 14559 [[Citrobacter diversus]]
545	CCUG 4859
545	CDC 3613-63 [[Citrobacter diversus]]
545	CIP 105014
545	CIP 82.87
545	CIP 82.88 [[Levinea malonatica Young et al. 1971 (Approved Lists 1980)]]
545	Citrobacter diversum
545	Citrobacter diversus (Burkey 1928) Werkman and Gillen 1932
545	Citrobacter intermedius biogroup b
545	Citrobacter koseri Frederiksen 1970
545	DSM 4570 [[Citrobacter diversus]]
545	DSM 4595
545	DSM 4596 [[Levinea malonatica Young et al. 1971 (Approved Lists 1980)]]
545	JCM 1658
545	JCM 1659 [[Citrobacter diversus]]
545	JCM 1660 [[Levinea malonatica Young et al. 1971 (Approved Lists 1980)]]
545	Levinea malonatica
545	LMG 5519
545	LMG 5741 [[Citrobacter diversus]]
545	LMG:5519
545	LMG:5741 [[Citrobacter diversus]]
545	NCTC 10786
545	NCTC 10810 [[Levinea malonatica Young et al. 1971 (Approved Lists 1980)]]
545	strain Frederiksen 14804
35703	ATCC 25405
35703	CCUG 4860
35703	CECT 863
35703	CIP 82.89
35703	Citrobacter amalonaticus (Young et al. 1971) Brenner and Farmer 1982
35703	Citrobacter intermedius biogroup a
35703	DSM 4593
35703	JCM 1661
35703	Levinea amalonatica
35703	LMG 7873
35703	LMG:7873
35703	NCTC 10805
66695	"Citrobacter intermedium" Werkman and Gillen 1932
66695	"Escherichia intermedia" (Werkman and Gillen 1932) Vaughn and Levine (1942)
66695	Citrobacter intermedium
66695	Citrobacter intermedius (Werkman and Gillen 1932, Vaughan and Levine 1942) Sledak 1974
67824	ATCC 51112
67824	CCUG 30798
67824	CDC 2991-81
67824	CIP 104553
67824	Citrobacter amalonaticus biogroup 1
67824	Citrobacter farmeri Brenner et al. 1993
67824	Citrobacter genomospecies 4
67824	DSM 17655
67825	ATCC 51116
67825	CCM 7398
67825	CCUG 30795
67825	CDC 1843-73
67825	CIP 104675
67825	Citrobacter genomospecies 9
67825	Citrobacter rodentium Schauer et al. 1996
67825	Citrobacter sp. biovar 4280
67825	DSM 16636
67825	JCM 14073
67825	NBRC 105723
547	"Aerobacter" Hormaeche and Edwards 1958
547	"Cloaca" Castellani and Chalmers 1919
547	Cloaca
547	Enterobacter Hormaeche and Edwards 1960 (Approved Lists 1980) emend. Brady et al. 2013
561	Escherchia
561	Escherichia Castellani and Chalmers 1919
562	"Bacillus coli" Migula 1895
562	"Bacterium coli commune" Escherich 1885
562	"Bacterium coli" (Migula 1895) Lehmann and Neumann 1896
562	Achromobacter sp. ATCC 35328
562	ATCC 11775
562	Bacillus coli
562	bacterium 10a
562	Bacterium coli
562	Bacterium coli commune
562	bacterium E3
562	CCUG 24
562	CCUG 29300
562	CIP 54.8
562	DSM 30083
562	E. coli
562	Enterococcus coli
562	Escherchia coli
562	Escherichia coli (Migula 1895) Castellani and Chalmers 1919
562	Escherichia sp. 3_2_53FAA
562	Escherichia sp. MAR
562	Escherichia/Shigella coli
562	Eschericia coli
562	IAM 12119
562	JCM 1649
562	LMG 2092
562	LMG:2092
562	NBRC 102203
562	NCCB 54008
562	NCTC 9001
562	strain U5/41
37762	Escherichia coli (strain B)
83333	Escherichia coli K12
83333	Escherichia coli K-12
83334	Escherichia coli 0157:H7
564	ATCC 35469
564	CDC 0568-73
564	CDC Enteric Group 10
564	CIP 103357
564	CIP 104947
564	DSM 13698
564	Escherichia fergusonii Farmer et al. 1985
564	Escherichia/Shigella fergusonii
564	JCM 21226
564	LMG 7866
564	LMG:7866
564	NBRC 102419
564	NCTC 12128
579	Kluyvera Farmer et al. 1981
580	"Escherichia citrophila" (Asai et al. 1957) Asai et al. 1962
580	"Kluyvera citrophila" Asai et al. 1957
580	ATCC 33435
580	CCUG 18767
580	CDC 2065-78
580	CIP 82.96
580	DSM 4588
580	Escherichia citrophila
580	JCM 7580
580	Kluyvera cryocrescens Farmer et al. 1981
580	LMG 7859
580	LMG:7859
580	NBRC 102467
580	strain 12993
51288	ATCC 33433
51288	CCUG 15716
51288	CDC 0648-74
51288	CIP 82.95
51288	DSM 4611
51288	JCM 21070
51288	Kluyvera ascorbata Farmer et al. 1981
51288	LMG 7871
51288	LMG:7871
51288	Microbacterium sp. BDR3P1B2
51288	NBRC 102466
61648	ATCC 33110
61648	ATCC 51609 [[Kluyvera cochleae Muller et al. 1996]]
61648	CCUG 14183
61648	CIP 79.27
61648	CUETM 77-130
61648	DSM 4581
61648	DSM 9406 [[Kluyvera cochleae Muller et al. 1996]]
61648	Enterobacter intermedium
61648	Enterobacter intermedius corrig. Izard et al. 1980
61648	Enterobacter intrermedium
61648	HAMBI 1299
61648	JCM 1238
61648	Kluyvera cochleae
61648	Kluyvera intermedia (Izard et al. 1980) Pavan et al. 2005
61648	LMG 2785
61648	LMG:2785
61648	NBRC 102594
61648	NCTC 12125
61648	strain Gavini E 86
61648	strain S3/1-49 [[Kluyvera cochleae Muller et al. 1996]]
73098	ATCC 51603
73098	CCUG 35513
73098	CDC 2891-76
73098	CIP 106361
73098	DSM 9409
73098	JCM 16938
73098	Kluyvera georgiana Muller et al. 1996
73098	strain serial (Mueller et al.) n 189
590	Salmonella Lignieres 1900
590	Samonella
28901	"Bacillus cholerae-suis" Smith 1894
28901	"Salmonella enterica" Kauffmann and Edwards 1952
28901	ATCC 13312 [[Salmonella choleraesuis corrig. (Smith 1894) Weldin 1927 (Approved Lists 1980)]]
28901	Bacillus cholerae-suis
28901	CECT 915 [[Salmonella choleraesuis corrig. (Smith 1894) Weldin 1927 (Approved Lists 1980)]]
28901	CIP 55.133 [[Salmonella choleraesuis corrig. (Smith 1894) Weldin 1927 (Approved Lists 1980)]]
28901	CIP 55-133 [[Salmonella choleraesuis corrig. (Smith 1894) Weldin 1927 (Approved Lists 1980)]]
28901	CIP 58.57 [[Salmonella choleraesuis corrig. (Smith 1894) Weldin 1927 (Approved Lists 1980)]]
28901	CIP:55-133 [[Salmonella choleraesuis corrig. (Smith 1894) Weldin 1927 (Approved Lists 1980)]]
28901	DSM 14846 [[Salmonella choleraesuis corrig. (Smith 1894) Weldin 1927 (Approved Lists 1980)]]
28901	JCM 1651 [[Salmonella choleraesuis corrig. (Smith 1894) Weldin 1927 (Approved Lists 1980)]]
28901	NBRC 105684 [[Salmonella choleraesuis corrig. (Smith 1894) Weldin 1927 (Approved Lists 1980)]]
28901	NCTC 5735 [[Salmonella choleraesuis corrig. (Smith 1894) Weldin 1927 (Approved Lists 1980)]]
28901	Salmonella cholerae-suis
28901	Salmonella choleraesuis corrig. (Smith 1894) Weldin 1927 (Approved Lists 1980)
28901	Salmonella enterica (ex Kauffmann and Edwards 1952) Le Minor and Popoff 1987
28901	Salmonella enterica ser. choleraesuis
28901	Salmonella sp. AMC 200
28901	Salmonella sp. AMC 238
28901	Salmonella sp. AMC 239
28901	Salmonella sp. AMC 240
28901	Salmonella sp. AMC 253
28901	Salmonella sp. AMC 257
28901	Salmonella sp. AMC 265
28901	Salmonella sp. AMC 266
28901	Salmonella sp. AMC 267
28901	Salmonella sp. AMC 268
28901	Salmonella sp. AMC 270
28901	Salmonella sp. AMC 28
28901	Salmonella sp. AMC 289
28901	Salmonella sp. AMC 291
28901	Salmonella sp. AMC 294
28901	Salmonella sp. AMC 299
28901	Salmonella sp. AMC 301
28901	Salmonella sp. AMC 327
28901	Salmonella sp. AMC 90
28901	Salmonella sp. FDA00013420
28901	Salmonella sp. FDA00013433
28901	Salmonella sp. FDA00013434
28901	Salmonella sp. FDA00013435
28901	Salmonella sp. FDA00013436
28901	Salmonella sp. FDA00013437
28901	Salmonella sp. FDA00013438
28901	Salmonella sp. FDA00013439
28901	Salmonella sp. FDA00013440
28901	Salmonella sp. FDA00013468
28901	Salmonella sp. FDA00013469
28901	Salmonella sp. FDA00013470
28901	Salmonella sp. FDA00013495
28901	Salmonella sp. FDA00013496
28901	Salmonella sp. FDA00013499
28901	Salmonella sp. FDA00013500
28901	Salmonella sp. FDA00013513
28901	Salmonella sp. FDA00013514
28901	Salmonella sp. FDA00013515
28901	Salmonella sp. FDA00013516
28901	Salmonella sp. FDA00013517
28901	Salmonella sp. FDA00013518
28901	Salmonella sp. FDA00013519
28901	Salmonella sp. FDA00013520
28901	Salmonella sp. FDA00013521
28901	Salmonella sp. FDA00013522
28901	Salmonella sp. FDA00013523
28901	Salmonella sp. FDA00013524
28901	Salmonella sp. FDA00013525
28901	Salmonella sp. FDA00013526
28901	Salmonella sp. FDA00013597
28901	Salmonella sp. HC-257
28901	Salmonella sp. IA1-174
28901	Salmonella sp. MH3-A1
28901	Salmonella sp. MH3-A2
28901	Salmonella sp. MH3-A3
28901	Salmonella sp. MH3-C
28901	Salmonella sp. MH3-D1
28901	Salmonella sp. MH3-D2
28901	Salmonella sp. MH3-D3
28901	Salmonella sp. MH3-D4
28901	Salmonella sp. MH3-Z1
28901	Salmonella sp. MH3-Z2
28901	Salmonella sp. MH4-A2
28901	Salmonella sp. MH4-A3
28901	Salmonella sp. MH4-A4
28901	Salmonella sp. MH4-Z2
28901	Salmonella sp. NYVetLIRN-85
28901	Salmonella sp. NYVetLIRN-86
28901	Salmonella sp. NYVetLIRN-87
28901	Salmonella sp. NYVetLIRN-88
28901	Salmonella sp. OH-18-15149
28901	Salmonella sp. OH-18-15334
28901	Salmonella sp. OH-18-15363
28901	Salmonella sp. OH-18-16886
28901	Salmonella sp. OH-18-16934
28901	Salmonella sp. OH-18-18132-1
28901	Salmonella sp. OH-18-18132-10
28901	Salmonella sp. OH-18-18132-11
28901	Salmonella sp. OH-18-18132-12
28901	Salmonella sp. OH-18-18132-13
28901	Salmonella sp. OH-18-18132-14
28901	Salmonella sp. OH-18-18132-15
28901	Salmonella sp. OH-18-18132-2
28901	Salmonella sp. OH-18-18132-3
28901	Salmonella sp. OH-18-18132-4
28901	Salmonella sp. OH-18-18132-5
28901	Salmonella sp. OH-18-18132-6
28901	Salmonella sp. OH-18-18132-7
28901	Salmonella sp. OH-18-18132-8
28901	Salmonella sp. OH-18-18132-9
28901	Salmonella sp. OH-18-18281-1
28901	Salmonella sp. OH-18-18281-2
28901	Salmonella sp. OH-18-18411
28901	Salmonella sp. OH-18-18446
28901	Salmonella sp. OH-18-18447
28901	Salmonella sp. OH-18-18941
28901	Salmonella sp. OH-18-19201
28901	Salmonella sp. OH-18-19951-1
28901	Salmonella sp. OH-18-20073-2T
28901	Salmonella sp. OH-18-20117-1
28901	Salmonella sp. OH-18-20132-7
28901	Salmonella sp. OH-18-20225-1-S
28901	Salmonella sp. OH-18-20225-2-S
28901	Salmonella sp. OH-18-20299-1
28901	Salmonella sp. OH-18-20299-2
28901	Salmonella sp. OH-18-20299-3
28901	Salmonella sp. OH-18-20299-4
28901	Salmonella sp. OH-18-20299-5
28901	Salmonella sp. OH-18-20299-6
28901	Salmonella sp. OH-18-20299-7
28901	Salmonella sp. OH-18-20299-8
28901	Salmonella sp. OH-18-20386
28901	Salmonella sp. OH-18-20895
28901	Salmonella sp. OH-18-20897
28901	Salmonella sp. OH-18-21102
28901	Salmonella sp. OH-18-21112
28901	Salmonella sp. OH-18-21175
28901	Salmonella sp. OH-18-21493-S
28901	Salmonella sp. OH-18-21628
28901	Salmonella sp. OH-18-21629
28901	Salmonella sp. OH-18-21765
28901	Salmonella sp. OH-18-21865-2
28901	Salmonella sp. OH-18-22026
28901	Salmonella sp. OH-18-22045
28901	Salmonella sp. OH-18-22168
28901	Salmonella sp. OH-18-22269-1
28901	Salmonella sp. OH-18-22479
28901	Salmonella sp. SAL-18-VL-LA-TX-0007
28901	Salmonella sp. SAL-18-VL-LA-TX-0008
28901	Salmonella sp. SAL-18-VL-LA-TX-0009
28901	Salmonella sp. SAL-18-VL-NY-MS-0001
28901	Salmonella sp. SAL-18-VL-NY-MS-0002
28901	Salmonella sp. SAL-18-VL-NY-MS-0003
28901	Salmonella sp. SAL-18-VL-NY-NJ-0001
28901	Salmonella sp. SAL-18-VL-NY-UP-NBC-0001
28901	Salmonella sp. SAL-18-VL-NY-UP-NBC-0004
28901	Salmonella sp. SAL-18-VL-NY-UP-NBC-0005
28901	Salmonella sp. SAL-18-VL-NY-UP-NBC-0006
28901	Salmonella sp. SAL-18-VL-NY-UP-NBC-0007
28901	Salmonella sp. SAL-18-VL-OH-IN-0001
28901	Salmonella sp. SAL-18-VL-OH-IN-0002
28901	Salmonella sp. SAL-18-VL-OH-IN-0003
28901	Salmonella sp. SAL-18-VL-OH-IN-0005
28901	Salmonella sp. SAL-18-VL-OH-IN-0007
28901	Salmonella sp. SAL-18-VL-OH-WA-0012
28901	Salmonella sp. SAL-18-VL-OH-WA-0013
28901	Salmonella sp. SAL-18-VL-OH-WA-0014
28901	Salmonella sp. SAL-18-VL-OH-WA-0017
28901	Salmonella sp. TTU_251
28901	Salmonella sp. TTU_258
28901	Salmonella sp. TTU_262
28901	Salmonella sp. TTU_264
28901	Salmonella sp. TTU_265
28901	Salmonella sp. TTU_266
28901	Salmonella sp. TTU_267
28901	Salmonella sp. TTU_269
28901	Salmonella sp. TTU_274
28901	Salmonella sp. TTU_279
28901	Salmonella sp. TTU_282
28901	Salmonella sp. TTU_284
28901	Salmonella sp. TTU_287
28901	Salmonella sp. TTU_289
28901	Salmonella sp. TTU_297
28901	Salmonella sp. TTU_298
28901	Salmonella sp. TTU_299
28901	Salmonella sp. TTU_303
28901	Salmonella sp. TTU_304
28901	Salmonella sp. TTU_305
28901	Salmonella sp. TTU_306
28901	Salmonella sp. TTU_307
28901	Salmonella sp. TTU_308
28901	Salmonella sp. TTU_309
28901	Salmonella sp. TTU_310
28901	Salmonella sp. TTU_311
28901	Salmonella sp. TTU_312
28901	Salmonella sp. TTU_313
28901	Salmonella sp. TTU_314
28901	Salmonella sp. TTU_315
28901	Salmonella sp. TTU_316
28901	Salmonella sp. TTU_317
28901	Salmonella sp. TTU_318
28901	Salmonella sp. TTU_319
28901	Salmonella sp. TTU_320
28901	Salmonella sp. TTU_321
28901	Salmonella sp. TTU_322
28901	Salmonella sp. TTU_323
28901	Salmonella sp. TTU_324
28901	Salmonella sp. TTU_325
28901	Salmonella sp. TTU_326
28901	Salmonella sp. TTU_327
28901	Salmonella sp. TTU_328
28901	Salmonella sp. TTU_329
28901	Salmonella sp. TTU_330
28901	Salmonella sp. TTU_331
28901	Salmonella sp. TTU_332
28901	Salmonella sp. TTU_333
28901	Salmonella sp. TTU_334
28901	Salmonella sp. TTU_335
28901	Salmonella sp. TTU_338
28901	Salmonella sp. TTU_345
28901	Salmonella sp. TTU_352
28901	Salmonella sp. TTU_353
28901	Salmonella sp. TTU_357
28901	Salmonella sp. TTU_358
28901	Salmonella sp. TTU_359
28901	Salmonella sp. TXACF1801691
28901	Salmonella sp. Z-172
28901	Salmonella sp. ZH-248
59201	ATCC 13076
59201	ATCC 43971
59201	ATCC 700720
59201	ATCC:13076
59201	ATCC13076
59201	ATCC-13076
59201	CCUG 42060
59201	CIP 60.62
59201	DSM 17058
59201	NBRC 13245
59201	NCIMB 11450
59201	NCTC 12416
59201	NCTC 12694
59201	NCTC:12694
59201	NCTC12694
59201	NCTC-12694
59201	Salmonella choleraesuis subsp. choleraesuis
59201	Salmonella cholerae-suis subsp. cholerae-suis
59201	Salmonella choleraesuis subsp. choleraesuis corrig. (Smith 1894) Weldin 1927
59201	Salmonella enterica subsp. enterica
59201	Salmonella enterica subsp. I
59201	Salmonella enterica subsp. Subsp. I
59201	Salmonella enterica subsp. Subsp. Ixxx
59201	SGSC 1412
59201	strain LT2
594	Salmonella enterica serovar Gallinarum
594	Salmonella enterica subsp. enterica serovar Gallinarum
595	Salmonella enterica subsp. enterica serovar Infantis
596	Salmonella enterica serovar Muenchen
596	Salmonella enterica subsp. enterica serovar Muenchen
596	Salmonella enterica subsp. enterica serovar Munchen
597	Salmonella enterica subsp. enterica serovar Potsdam
598	Salmonella enterica serovar Rubislaw
598	Salmonella enterica subsp. enterica serovar Rubislaw
600	Salmonella enterica subsp. enterica serovar Thompson
75555	Salmonella enterica C1
604	Salmonella gallinarum/pullorum
605	Salmonella enterica subsp. enterica serovar Pullorum
607	Salmonella abortusequi
607	Salmonella enterica subsp. enterica serovar Abortusequi
610	Salmonella abortus
611	Salmonella heidelberg
612	Salmonella enterica subsp. enterica serovar Ordonez
28142	Salmonella enterica subsp. enterica serovar Berta
28143	Salmonella enterica subsp. enterica serovar Budapest
28144	Salmonella enterica serovar Derby
28144	Salmonella enterica subsp. enterica serovar Derby
28146	Salmonella enterica subsp. enterica serovar Moscow
28146	Salmonella moscow.
28147	Salmonella enterica serovar Oranienburg
28147	Salmonella enterica subsp. enterica serovar Oranienburg
28147	Salmonella oranienburg
28149	Salmonella enterica subsp. enterica serovar Rostock
28150	Salmonella enterica serovar Senftenberg
28150	Salmonella enterica subsp. enterica serovar Seftenburg
28150	Salmonella enterica subsp. enterica serovar Senftenberg
29472	Salmonella panama
29473	Salmonella adelaide
29474	Salmonella california
29477	Salmonella essen
29479	Salmonella marrtens
29480	Salmonella monschaui
29481	Salmonella simsbury
29482	Salmonella enterica subsp. enterica serovar Abony
29482	Salmonella sbony
29482	Salmonella sp. NCIM 2257
34039	Salmonella banana
34040	Salmonella newmexico
34041	Salmonella othmarschen
34042	Salmonella pensacola
41529	Salmonella enterica serovar Typhisuis
41529	Salmonella enterica subsp. enterica serovar Typhisuis
44468	Salmonella maregrosso
44469	Salmonella setubal
46626	Salmonella give
46627	Salmonella shomron
47066	Salmonella enterica subsp. enterica serovar Austin
48409	Salmonella enterica subsp. enterica serovar Virchow
53961	Salmonella abortusovis
53961	Salmonella abortus-ovis
54388	"Bacterium paratyphi typhus A" Brion and Kaiser 1902
54388	"Bacterium paratyphi" Kaiser 1902
54388	"Salmonella paratyphi" (Kaiser 1902) Castellani and Chalmers 1919
54388	"Salmonella paratyphi-A" (Brion and Kaiser 1902) Castellani and Chalmers 1919
54388	Bacterium paratyphi
54388	Bacterium paratyphi typhus A
54388	Salmonella choleraesuis choleraesuis (serotype paratyphi A)
54388	Salmonella choleraesuis subsp. choleraesuis serovar Paratyphi A
54388	Salmonella enterica subsp. enterica serovar Paratyphi A
54388	Salmonella paratyphi
54388	Salmonella paratyphi-a
55400	Salmonella enterica subsp. enterica serovar Borreze
57046	Salmonella paratyphi C
57741	Salmonella enterica subsp. enterica serovar Blockley
57742	Salmonella matopeni
57743	Salmonella enterica subsp. enterica serovar Weltenvreden
57743	Salmonella weltevreden
58095	Salmonella agona
58096	Salmonella bareilly
58097	Salmonella bovis
58097	Salmonella bovis morbificans
58097	Salmonella bovismorbificans
