Term_PK	Term_Name	Identifier	Is_Leaf	Rank	Parent_Term_Name	Parent_Term_ID	Grandparent_Term_Name	Grandparent_Term_ID	Common_Name	Synonym	Mnemonic
12405NEWT1	Leuconostoc phage P54	12405	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
12406NEWT1	Leuconostocphage PAt5-12	12406	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
12408NEWT1	Leuconostoc phage PZt11-15	12408	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
12409NEWT1	Clostridium phage d-16 phi	12409	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
12412NEWT1	Staphylococcus phage phi-42	12412	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
12420NEWT1	Filamentous phage	12420	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
12424NEWT1	Phage 13	12424	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
12425NEWT1	Phage 16	12425	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
12427NEWT1	Lactococcus lactis phage phi 197	12427	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
12428NEWT1	Retronphage phi R73	12428	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
12429NEWT1	unclassified viruses	12429	0		Viruses	10239	Viruses	10239			
12292NEWT1	Nicotiana velutina mosaic virus	12292	1	Species	unclassified viruses	12429	unclassified viruses	12429	NvMV		NVMV
12439NEWT1	20S RNA replicon	12439	1	Species	unclassified viruses	12429	unclassified viruses	12429			
12440NEWT1	Non-A non-B hepatitis virus	12440	1	Species	unclassified viruses	12429	unclassified viruses	12429			HSVAB
12452NEWT1	Flame chlorosis virus-like agent	12452	1	Species	unclassified viruses	12429	unclassified viruses	12429			
12477NEWT1	Killer virus of S.cerevisiae	12477	1	Species	unclassified viruses	12429	unclassified viruses	12429			
12499NEWT1	Chorella virus	12499	1	Species	unclassified viruses	12429	unclassified viruses	12429			
12521NEWT1	JDV virus	12521	1	Species	unclassified viruses	12429	unclassified viruses	12429			
12672NEWT1	Frog erythrocytic virus	12672	1	Species	unclassified viruses	12429	unclassified viruses	12429			
12877NEWT1	Satellites	12877	0		Viruses	10239	Viruses	10239			
28368NEWT1	Corynebacterium diphtheriae phage	28368	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
31760NEWT1	Colitis phage	31760	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
33768NEWT1	Leuconostoc phage L10	33768	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
33769NEWT1	Lactococcus phage mv1	33769	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333		Lactococcus delbrueckii bacteriophage mv1	BPMV1
35352NEWT1	K28 killer virus	35352	1	Species	unclassified viruses	12429	unclassified viruses	12429			
36517NEWT1	Ecotropic provirus	36517	1	Species	unclassified viruses	12429	unclassified viruses	12429			
37478NEWT1	Japanese garlic virus	37478	1	Species	unclassified viruses	12429	unclassified viruses	12429			
38018NEWT1	Bacteriophage sp.	38018	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
39425NEWT1	Streptococcus phage T270	39425	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
39943NEWT1	Actinophage JHJ-3	39943	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
41669NEWT1	Phage LM4	41669	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
42171NEWT1	Phage N 209	42171	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
42172NEWT1	Phage 3/14	42172	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
42173NEWT1	Phage Cz	42173	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
45331NEWT1	Phage fuse 5	45331	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
45332NEWT1	Prevotella phage phi AR29	45332	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
46014NEWT1	Acholeplasma phage L2	46014	1	Species	Plasmavirus	10473	Plasmavirus	10473		Bacteriophage L2	BPL2
48224NEWT1	Phage E	48224	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
53480NEWT1	Virus-like particle CAK1	53480	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
54392NEWT1	Leuconostoc phage 10MC	54392	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
57476NEWT1	Bacillus phage 12826	57476	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
60457NEWT1	Bartonella henselae phage 60457	60457	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
63117NEWT1	Vibrio cholerae V86 phage	63117	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
65388NEWT1	Mycobacterium phage Ms6	65388	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
68912NEWT1	Haemorrhagic kidney syndrome virus	68912	1	Species	unclassified viruses	12429	unclassified viruses	12429			
70698NEWT1	M28 virus	70698	1	Species	unclassified viruses	12429	unclassified viruses	12429			
73117NEWT1	Cloudy wing virus	73117	1	Species	unclassified viruses	12429	unclassified viruses	12429			
73492NEWT1	Streptococcus pyogenes phage	73492	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
76262NEWT1	Rhizobium phage phiU	76262	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
77041NEWT1	Stealth virus 4	77041	1	Species	unclassified viruses	12429	unclassified viruses	12429			
77042NEWT1	Stealth virus 5	77042	1	Species	unclassified viruses	12429	unclassified viruses	12429			
77920NEWT1	Phage #D	77920	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
80271NEWT1	Peanut chlorotic fan-spot virus	80271	1	Species	unclassified viruses	12429	unclassified viruses	12429			
86065NEWT1	Streptococcus pyogenes phage H10403	86065	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			BPH45
89551NEWT1	Corynephage phi16	89551	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
100637NEWT1	Lactococcus phage Q42	100637	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
100638NEWT1	Lactococcus phage Q44	100638	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
100639NEWT1	Lactococcus phage Q7	100639	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
100640NEWT1	Lactococcus phage eb1	100640	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
105686NEWT1	Lambdoid phage HB-4	105686	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
108916NEWT1	Enterobacteria phage F3	108916	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
108917NEWT1	Enterobacteria phage F5	108917	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
108918NEWT1	Enterobacteria phage F6	108918	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
126970NEWT1	Clostridium limosum phage	126970	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
126991NEWT1	White button mushroom virus 1	126991	1	Species	unclassified viruses	12429	unclassified viruses	12429			
126992NEWT1	Ustilago maydis virus P1	126992	1	Species	unclassified viruses	12429	unclassified viruses	12429			
128975NEWT1	Salmonella phage Fels-1	128975	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
129861NEWT1	Phage Gifsy-1	129861	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
129862NEWT1	Phage Gifsy-2	129862	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
131567NEWT1	cellular organisms	131567	0		root	1					
2NEWT1	Bacteria	2	0	Superkingdom	cellular organisms	131567	cellular organisms	131567			9BACT
1224NEWT1	Pseudomonadota	1224	0	Phylum	Bacteria	2	Bacteria	2			9PROT
1236NEWT1	Gammaproteobacteria	1236	0	Class	Pseudomonadota	1224	Pseudomonadota	1224			9GAMM
33811NEWT1	unclassified Gammaproteobacteria	33811	0		Gammaproteobacteria	1236	Gammaproteobacteria	1236			
2707NEWT1	Citrus greening disease-associated bacterium	2707	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
29579NEWT1	Heliothis virescens testis endosymbiont	29579	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
37449NEWT1	gas vacuolate str. 90-P<gv>1	37449	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
41355NEWT1	mussel methanotrophic gill symbiont MAR2	41355	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
42121NEWT1	unidentified gamma proteobacterium RS15	42121	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
42122NEWT1	unidentified gamma proteobacterium S11	42122	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
42123NEWT1	unidentified gamma proteobacterium S13	42123	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
42124NEWT1	unidentified gamma proteobacterium S26	42124	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
42125NEWT1	unidentified gamma proteobacterium S26r	42125	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
53948NEWT1	gas vacuolate str. 174	53948	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
53949NEWT1	gas vacuolate str. 214.6	53949	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
53950NEWT1	gas vacuolate str. 206	53950	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
56801NEWT1	marine psychrophile IC052	56801	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
57591NEWT1	thermophilic methanotroph HB	57591	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
58052NEWT1	facultative barophile CNPT3	58052	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
67953NEWT1	gamma proteobacterium KAT11	67953	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
67954NEWT1	gamma proteobacterium KAT12	67954	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
67955NEWT1	gamma proteobacterium KAT15	67955	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
68320NEWT1	gamma proteobacterium MED1	68320	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
68321NEWT1	gamma proteobacterium MED20	68321	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
68322NEWT1	gamma proteobacterium MED23	68322	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
73552NEWT1	marine proteobacterium 'Tomales Bay wc2-3 sm wh'	73552	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
73553NEWT1	marine proteobacterium 'Tomales Bay wc2-3 lg wh'	73553	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
75403NEWT1	barotolerant proteobacterium LX9	75403	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
75758NEWT1	marine proteobacterium 'Bird Shoal 4-6'	75758	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
75759NEWT1	marine proteobacterium 'Sippewissett 2-32'	75759	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
75760NEWT1	marine proteobacterium 'Tomales Bay wc1-28'	75760	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
75761NEWT1	marine proteobacterium 'Tomales Bay wc1-2 sm white'	75761	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
75785NEWT1	marine proteobacterium 'Tomales Bay 13-32f'	75785	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
75786NEWT1	marine proteobacterium 'Tomales Bay 13-32r'	75786	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
76005NEWT1	X-symbiont of Anomoneura mori	76005	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
76006NEWT1	Y-symbiont of Anomoneura mori	76006	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
79548NEWT1	marine bacterium B5-7	79548	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
83406NEWT1	gamma proteobacterium HdN1	83406	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
85580NEWT1	gamma proteobacterium MBIC3958	85580	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
86945NEWT1	marine facultatively oligotrophic bacterium PFO-4	86945	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
86946NEWT1	marine facultatively oligotrophic bacterium PFO-5	86946	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
86947NEWT1	marine obligately oligotrophic bacterium POO-10	86947	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
86948NEWT1	marine obligately oligotrophic bacterium POO-3	86948	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
86949NEWT1	marine obligately oligotrophic bacterium POO-6	86949	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
86950NEWT1	marine obligately oligotrophic bacterium POO-9	86950	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
86951NEWT1	marine obligately oligotrophic bacterium POO-8	86951	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
86952NEWT1	marine obligately oligotrophic bacterium POO-7	86952	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
86953NEWT1	marine adapted facultatively oligotrophic bacterium PAF-5	86953	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
86954NEWT1	marine adapted facultatively oligotrophic bacterium PAF-2	86954	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
86955NEWT1	marine obligately oligotrophic bacterium POO-13	86955	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
87343NEWT1	obligately oligotrophic bacterium POCPN-71	87343	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
87344NEWT1	obligately oligotrophic bacterium POC-112	87344	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
87649NEWT1	gamma proteobacterium MBIC3957	87649	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
87736NEWT1	obligately oligotrophic bacterium POO-2	87736	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
87737NEWT1	adapted facultatively oligotrophic bacteria PAF-3	87737	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
87738NEWT1	obligately oligotrophic bacterium POO-15	87738	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
87739NEWT1	adapted facultatively oligotrophic bacteria PAF-1	87739	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
87740NEWT1	facultatively oligotrophic bacterium PFO-2	87740	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
87741NEWT1	obligately oligotrophic bacterium POT-11	87741	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
87742NEWT1	obligately oligotrophic bacterium POT-12	87742	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
87743NEWT1	obligately oligotrophic bacterium POCPN-83	87743	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
90420NEWT1	phosphorous removal reactor sludge group	90420	0	Species_Group	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
90425NEWT1	environmental samples	90425	0		phosphorous removal reactor sludge group	90420	phosphorous removal reactor sludge group	90420			
90421NEWT1	uncultured bacterium Band3#390	90421	1	Species	environmental samples	90425	environmental samples	90425			
90422NEWT1	uncultured bacterium Band4#424	90422	1	Species	environmental samples	90425	environmental samples	90425			
90423NEWT1	uncultured bacterium Band5#420	90423	1	Species	environmental samples	90425	environmental samples	90425			
90424NEWT1	uncultured bacterium Band6#426	90424	1	Species	environmental samples	90425	environmental samples	90425			
93659NEWT1	proteobacterium CFS-5	93659	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
93667NEWT1	proteobacterium CFS-4	93667	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
93668NEWT1	proteobacterium CFS-1	93668	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
94077NEWT1	gamma proteobacterium ML-173	94077	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
94631NEWT1	aquatic bacterium RUB_GSP_02	94631	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
94632NEWT1	aquatic bacterium RUB_MacConkey_K33	94632	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
94633NEWT1	aquatic bacterium RUB_R2A_A2	94633	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
94634NEWT1	aquatic bacterium STS_EndoC_05	94634	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
94635NEWT1	aquatic bacterium PVT_Cetrimid_04	94635	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
94636NEWT1	aquatic bacterium RUB_GSP_01	94636	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
94637NEWT1	aquatic bacterium STS_EndoC_11	94637	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
95642NEWT1	Olavius loisae endosymbiont 1	95642	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
96573NEWT1	Eubostrichus dianae epibacterium 3_44	96573	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
96576NEWT1	Eubostrichus dianae epibacterium 2_25	96576	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
96578NEWT1	Eubostrichus dianae epibacterium 2_14	96578	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
97299NEWT1	bacterium Phenol-1	97299	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
99004NEWT1	marine bacterium GY27	99004	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
99005NEWT1	marine bacterium GY21	99005	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
99006NEWT1	marine bacterium MC27	99006	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
99939NEWT1	gamma proteobacterium A3-5	99939	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
99940NEWT1	gamma proteobacterium B9-12	99940	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
99941NEWT1	gamma proteobacterium C10-1	99941	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
99942NEWT1	gamma proteobacterium D4-14	99942	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
99943NEWT1	gamma proteobacterium D7-6	99943	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
99944NEWT1	gamma proteobacterium D9-1	99944	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
99945NEWT1	gamma proteobacterium E4-2	99945	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
99946NEWT1	gamma proteobacterium F8-5	99946	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
99947NEWT1	gamma proteobacterium F9-2	99947	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
100484NEWT1	gamma-symbiont of Antonina crawii	100484	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
103492NEWT1	2,4-D-degrading bacterium 010	103492	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
103493NEWT1	2,4-D-degrading bacterium 030	103493	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
104638NEWT1	bacterium Pen2	104638	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
105300NEWT1	Thiobacillus sp. 'Lamellibrachia symbiont-1'	105300	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
107718NEWT1	marine gamma proteobacterium DIL-2	107718	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
107719NEWT1	marine gamma proteobacterium DIL-3	107719	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
109316NEWT1	sulfur-oxidizing bacterium OBII5	109316	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
109317NEWT1	sulfur-oxidizing bacterium ODIII6	109317	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
109318NEWT1	sulfur-oxidizing bacterium OAII2	109318	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
109319NEWT1	sulfur-oxidizing bacterium NDII1.1	109319	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
109320NEWT1	sulfur-oxidizing bacterium NDII1.2	109320	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
113008NEWT1	marine gamma proteobacterium AS-16	113008	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
113268NEWT1	Bathymodiolus platifrons methanotrophic gill symbiont	113268	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
113269NEWT1	Bathymodiolus japonicus methanotrophic gill symbiont	113269	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
115133NEWT1	marine psychrotrophic bacterium MK242	115133	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
115811NEWT1	male-killer in Chilomenes sexmaculatus	115811	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
116599NEWT1	mycetocyte endosymbiont of Diaphorina citri	116599	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
116866NEWT1	Chesapeake Bay isolate 11d	116866	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
116867NEWT1	Chesapeake Bay isolate 6d	116867	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
118437NEWT1	humic substances-degrading bacterium HS199	118437	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
118438NEWT1	humic substances-degrading bacterium HS53	118438	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
118439NEWT1	humic substances-degrading bacterium HS90	118439	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
119963NEWT1	Thiobacillus sp. 'Lamellibrachia symbiont-2'	119963	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
120346NEWT1	gamma proteobacterium YB12	120346	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
120946NEWT1	NOR1 cluster	120946	0		unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
120669NEWT1	gamma proteobacterium KT11ds7	120669	1	Species	NOR1 cluster	120946	NOR1 cluster	120946			
120947NEWT1	NOR3 cluster	120947	0		unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
120667NEWT1	gamma proteobacterium KT0221	120667	1	Species	NOR3 cluster	120947	NOR3 cluster	120947			
120948NEWT1	NOR4 cluster	120948	0		unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
120949NEWT1	gamma proteobacterium KT0813	120949	1	Species	NOR4 cluster	120948	NOR4 cluster	120948			
120970NEWT1	slope strain DIII1c	120970	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
121716NEWT1	gamma proteobacterium KT11ds10	121716	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
123558NEWT1	marine bacterium Mst85	123558	1	Species	unclassified Gammaproteobacteria	33811	unclassified Gammaproteobacteria	33811			
